RM,DIS,TAX
6.575,4.09,296
6.421,4.9671,242
7.185,4.9671,242
6.998,6.0622,222
7.147,6.0622,222
6.43,6.0622,222
6.012,5.5605,311
6.172,5.9505,311
5.631,6.0821,311
6.004,6.5921,311
6.377,6.3467,311
6.009,6.2267,311
5.889,5.4509,311
5.949,4.7075,307
6.096,4.4619,307
5.834,4.4986,307
5.935,4.4986,307
5.99,4.2579,307
5.456,3.7965,307
5.727,3.7965,307
5.57,3.7979,307
5.965,4.0123,307
6.142,3.9769,307
5.813,4.0952,307
5.924,4.3996,307
5.599,4.4546,307
5.813,4.682,307
6.047,4.4534,307
6.495,4.4547,307
6.674,4.239,307
5.713,4.233,307
6.072,4.175,307
5.95,3.99,307
5.701,3.7872,307
6.096,3.7598,307
5.933,3.3603,279
5.841,3.3779,279
5.85,3.9342,279
5.966,3.8473,279
6.595,5.4011,252
7.024,5.4011,252
6.77,5.7209,233
6.169,5.7209,233
6.211,5.7209,233
6.069,5.7209,233
5.682,5.1004,233
5.786,5.1004,233
6.03,5.6894,233
5.399,5.87,233
5.602,6.0877,233
5.963,6.8147,243
6.115,6.8147,243
6.511,6.8147,243
5.998,6.8147,243
5.888,7.3197,469
7.249,8.6966,226
6.383,9.1876,313
6.816,8.3248,256
6.145,7.8148,284
5.927,6.932,284
5.741,7.2254,284
5.966,6.8185,284
6.456,7.2255,284
6.762,7.9809,284
7.104,9.2229,216
6.29,6.6115,337
5.787,6.6115,337
5.878,6.498,345
5.594,6.498,345
5.885,6.498,345
6.417,5.2873,305
5.961,5.2873,305
6.065,5.2873,305
6.245,5.2873,305
6.273,4.2515,398
6.286,4.5026,398
6.279,4.0522,398
6.14,4.0905,398
6.232,5.0141,398
5.874,4.5026,398
6.727,5.4007,281
6.619,5.4007,281
6.302,5.4007,281
6.167,5.4007,281
6.389,4.7794,247
6.63,4.4377,247
6.015,4.4272,247
6.121,3.7476,247
7.007,3.4217,270
7.079,3.4145,270
6.417,3.0923,270
6.405,3.0921,270
6.442,3.6659,270
6.211,3.6659,270
6.249,3.615,270
6.625,3.4952,276
6.163,3.4952,276
8.069,3.4952,276
7.82,3.4952,276
7.416,3.4952,276
6.727,2.7778,384
6.781,2.8561,384
6.405,2.7147,384
6.137,2.7147,384
6.167,2.421,384
5.851,2.1069,384
5.836,2.211,384
6.127,2.1224,384
6.474,2.4329,384
6.229,2.5451,384
6.195,2.7778,384
6.715,2.6775,432
5.913,2.3534,432
6.092,2.548,432
6.254,2.2565,432
5.928,2.4631,432
6.176,2.7301,432
6.021,2.7474,432
5.872,2.4775,432
5.731,2.7592,432
5.87,2.2577,188
6.004,2.1974,188
5.961,2.0869,188
5.856,1.9444,188
5.879,2.0063,188
5.986,1.9929,188
5.613,1.7572,188
5.693,1.7883,437
6.431,1.8125,437
5.637,1.9799,437
6.458,2.1185,437
6.326,2.271,437
6.372,2.3274,437
5.822,2.4699,437
5.757,2.346,437
6.335,2.1107,437
5.942,1.9669,437
6.454,1.8498,437
5.857,1.6686,437
6.151,1.6687,437
6.174,1.6119,437
5.019,1.4394,437
5.403,1.3216,403
5.468,1.4118,403
4.903,1.3459,403
6.13,1.4191,403
5.628,1.5166,403
4.926,1.4608,403
5.186,1.5296,403
5.597,1.5257,403
6.122,1.618,403
5.404,1.5916,403
5.012,1.6102,403
5.709,1.6232,403
6.129,1.7494,403
6.152,1.7455,403
5.272,1.7364,403
6.943,1.8773,403
6.066,1.7573,403
6.51,1.7659,403
6.25,1.7984,403
7.489,1.9709,403
7.802,2.0407,403
8.375,2.162,403
5.854,2.422,403
6.101,2.2834,403
7.929,2.0459,403
5.877,2.4259,403
6.319,2.1,403
6.402,2.2625,403
5.875,2.4259,403
5.88,2.3887,403
5.572,2.5961,296
6.416,2.6463,296
5.859,2.7019,296
6.546,3.1323,296
6.02,3.5549,296
6.315,3.3175,296
6.86,2.9153,296
6.98,2.829,193
7.765,2.741,193
6.144,2.5979,193
7.155,2.7006,193
6.563,2.847,193
5.604,2.9879,193
6.153,3.2797,193
7.831,3.1992,193
6.782,3.7886,398
6.556,4.5667,398
7.185,4.5667,398
6.951,6.4798,398
6.739,6.4798,398
7.178,6.4798,398
6.8,6.2196,265
6.604,6.2196,265
7.875,5.6484,255
7.287,7.309,329
7.107,7.309,329
7.274,7.309,329
6.975,7.6534,402
7.135,7.6534,402
6.162,6.27,348
7.61,6.27,348
7.853,5.118,224
8.034,5.118,224
5.891,3.9454,277
6.326,4.3549,277
5.783,4.3549,277
6.064,4.2392,277
5.344,3.875,277
5.96,3.8771,277
5.404,3.665,277
5.807,3.6526,277
6.375,3.9454,277
5.412,3.5875,277
6.182,3.9454,277
5.888,3.1121,276
6.642,3.4211,276
5.951,2.8893,276
6.373,3.3633,276
6.951,2.8617,307
6.164,3.048,307
6.879,3.2721,307
6.618,3.2721,307
8.266,2.8944,307
8.725,2.8944,307
8.04,3.2157,307
7.163,3.2157,307
7.686,3.3751,307
6.552,3.3751,307
5.981,3.6715,307
7.412,3.6715,307
8.337,3.8384,307
8.247,3.6519,307
6.726,3.6519,307
6.086,3.6519,307
6.631,4.148,307
7.358,4.148,307
6.481,6.1899,300
6.606,6.1899,300
6.897,6.3361,300
6.095,6.3361,300
6.358,7.0355,300
6.393,7.0355,300
5.593,7.9549,330
5.605,7.9549,330
6.108,8.0555,330
6.226,8.0555,330
6.433,7.8265,330
6.718,7.8265,330
6.487,7.3967,330
6.438,7.3967,330
6.957,8.9067,330
8.259,8.9067,330
6.108,9.2203,315
5.876,9.2203,315
7.454,6.3361,244
8.704,1.801,264
7.333,1.8946,264
6.842,2.0107,264
7.203,2.1121,264
7.52,2.1398,264
8.398,2.2885,264
7.327,2.0788,264
7.206,1.9301,264
5.56,1.9865,264
7.014,2.1329,264
8.297,2.4216,264
7.47,2.872,264
5.92,3.9175,223
5.856,4.429,223
6.24,4.429,223
6.538,3.9175,223
7.691,4.3665,223
6.758,4.0776,254
6.854,4.2673,254
7.267,4.7872,254
6.826,4.8628,254
6.482,4.1403,254
6.812,4.1007,216
7.82,4.6947,216
6.968,5.2447,216
7.645,5.2119,216
7.923,5.885,198
7.088,7.3073,285
6.453,7.3073,300
6.23,9.0892,241
6.209,7.3172,293
6.315,7.3172,293
6.565,7.3172,293
6.861,5.1167,245
7.148,5.1167,245
6.63,5.1167,245
6.127,5.5027,289
6.009,5.5027,289
6.678,5.9604,289
6.549,5.9604,289
5.79,6.32,289
6.345,7.8278,358
7.041,7.8278,358
6.871,7.8278,358
6.59,5.4917,329
6.495,5.4917,329
6.982,5.4917,329
7.236,4.022,222
6.616,3.37,222
7.42,3.0992,222
6.849,3.1827,222
6.635,3.3175,304
5.972,3.1025,304
4.973,2.5194,304
6.122,2.6403,304
6.023,2.834,304
6.266,3.2628,304
6.567,3.6023,304
5.705,3.945,304
5.914,3.9986,304
5.782,4.0317,304
6.382,3.5325,304
6.113,4.0019,304
6.426,4.5404,287
6.376,4.5404,287
6.041,4.7211,287
5.708,4.7211,287
6.415,4.7211,287
6.431,5.4159,287
6.312,5.4159,287
6.083,5.4159,287
5.868,5.2146,430
6.333,5.2146,430
6.144,5.8736,430
5.706,6.6407,304
6.031,6.6407,304
6.316,6.4584,224
6.31,6.4584,224
6.037,5.9853,224
5.869,5.2311,224
5.895,5.615,224
6.059,4.8122,224
5.985,4.8122,224
5.968,4.8122,224
7.241,7.0379,284
6.54,6.2669,422
6.696,5.7321,370
6.874,6.4654,370
6.014,8.0136,352
5.898,8.0136,352
6.516,8.5353,351
6.635,8.344,280
6.939,8.7921,335
6.49,8.7921,335
6.579,10.7103,411
5.884,10.7103,411
